ruleset_name;ruleset_description;ruleset_scope;ruleset_enabled;rule_description;rule_enabled;unscoped_consumers;consumer_all_workloads;consumer_labels;consumer_label_groups;consumer_iplists;consumer_user_groups;consumer_workloads;consumer_virtual_services;consumer_use_workload_subnets;provider_all_workloads;provider_labels;provider_label_groups;provider_iplists;provider_workloads;provider_virtual_services;provider_virtual_servers;provider_use_workload_subnets;services;consumer_resolve_labels_as;provider_resolve_labels_as;machine_auth_enabled;secure_connect_enabled;stateless_enabled;network_type;ruleset_href;rule_href;update_type;Column1
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:DB.ORA.GEN1;;;;;;FALSE;FALSE;;;NZ4_CAZA_AES_DC2-IPL;;;;FALSE;1858 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91822;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:BATCH;;;;;;FALSE;FALSE;;;LBI_MUT_171.69.56.0-21-UAT-IPL;;;;FALSE;443 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91810;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;TRUE;;;;;;;FALSE;TRUE;;;;;;;FALSE;All Services;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91804;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;NZ2_LAN.EUR.PRD_SGCIB.ACE.DR-IPL;;;;FALSE;4903 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90525;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;MUT_KUBE9.PROD.GTS.SSA-IPL;;;;FALSE;443 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90523;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;DNS_cvspartigdmp102.fr.world.socgen;;;;FALSE;2049 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90517;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;DNS_cvspartigdbs911-1521-data10.fr.world.socgen;;;;FALSE;"111 TCP;2049 TCP;4045 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90515;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;DNS_cvsparpa4dbs911-1521-data14.fr.world.socgen;;;;FALSE;2049 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90513;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;DNS_cvsparpa4dbs911-1521-data12.fr.world.socgen-IPL;;;;FALSE;"111 TCP;2049 TCP;4045 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90511;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;FALSE;;;DNS_adbdevoem13c.fr.world.socgen-IPL;;;;FALSE;4903 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90509;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:BATCH;;;;;;FALSE;FALSE;;;SSD_PROXY.SOCKS_UAT-IPL;;;;FALSE;11000 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90505;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:BATCH;;;;;;FALSE;FALSE;;;SSD_FTR_TRANSFERT-DEV-IPL;;;;FALSE;10022 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90503;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:BATCH;;;;;;FALSE;FALSE;;;DNS_cvspartigdmp102.fr.world.socgen;;;;FALSE;2049 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90495;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;role:BATCH;;;;;;FALSE;FALSE;;;DNS_crsprdfs01.fr.world.socgen;;;;FALSE;"111 TCP;111 UDP;2049 TCP;2049 UDP;635 UDP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90491;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;;;U_FR_SGADM_LAPTOP-IPL;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1424 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90483;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;FALSE;FALSE;;;U_FR_SGADM_LAPTOP-IPL;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;1522 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90479;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;temporary : CyberArk standard access;TRUE;TRUE;FALSE;"app:CSM_RBD_CYBERARK.STANDARD.FRA.BUSU;role:PSM;role:PSMP;env:PRD";;;;;;FALSE;TRUE;;;;;;;FALSE;"ALL-BUT-ERADICATE-SVC (IGMP;6064-65535 TCP;5907-5999 TCP;1724-5899 TCP;515-1722 TCP;140-511 TCP;38-138 TCP;24-36 TCP;20 TCP;14-18 TCP;1-12 TCP;1-68 UDP;69-160 UDP;161-176 UDP;178-1700 UDP;1702-65535 UDP;ICMP;22 TCP);21 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/92192;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"env:NONPRD;app:APA_IAS_A7650-WBS";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1424 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91843;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APM_L1.GBTO_X.ONE.L1;env:HOM2;role:INHOUSE_SOFT";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;"1414 TCP;11415 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91786;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;"Validated
 Accès via cyberark";TRUE;TRUE;FALSE;"app:CSM_RBD_CYBERARK.STANDARD.FRA.BUSU;env:PRD;role:MANAGEMENT";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;22 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91782;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APM_L1.GBTO_X.ONE.L1;role:INHOUSE_SOFT;env:HOM2;env:UAT";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1424 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/91778;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_ATS_125356;env:PRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;22 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90487;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_DCK_160862;env:PRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;9002 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90485;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_IAS_ONE;env:NONPRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1424 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90481;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_IAS_AK711-Z19;env:PRD";;;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;"1522 TCP;22 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90477;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_CLS_5351;env:NONPRD";;;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;1522 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90475;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_JBO_A7192;env:NONPRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;"ICMP (ICMP;IPv6-ICMP);22 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90471;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"env:PRD;app:APA_BUK_A7480";;;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;22 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90469;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;"UNITY REQ: 648878720
These flow are required so that CLS-CB's mq agent can communicate with the new SAG servers.";TRUE;TRUE;FALSE;"app:APM_L3.SWIFT.EUR_CG.SWIFT.SAG;role:VENDOR_SOFT;env:UAT";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;11415 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90467;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;;;U_FR_VPN_RA2.0-IPL;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;"8081 TCP;9002 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90465;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;;;U_FR_SGADM_LAPTOP-IPL;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;8081 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90463;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;;;U_FR_PARIS_DUNES_ALL-IPL;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;1522 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90461;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APM_L3.GBTO.EUR_CG.X.ONE.EUR;env:UAT;role:INHOUSE_SOFT;role:FRONTEND";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;"1424 TCP;11415 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90455;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_IAS_CTXAS;env:NONPRD";;;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;1522 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90451;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_IAS_WMQ;env:NONPRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1424 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90449;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_IAS_A6123-YMO;env:NONPRD";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1947 UDP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90443;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"app:APA_DWS_A7340-ADS;env:PRD";;;;;;FALSE;FALSE;"role:DATABASE;role:DB.ORA.GEN1";;;;;;FALSE;"ICMP (ICMP;IPv6-ICMP)";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/90441;;KEEP
APM_GCR_CLS.CONTROL.BRANCH-UAT-RS;;"app:APM_GCR_CLS.CONTROL.BRANCH;env:UAT";TRUE;;TRUE;TRUE;FALSE;"role:WMQ;app:APM_GCR_SRG.BIR;env:UAT";;;;;;FALSE;FALSE;role:BATCH;;;;;;FALSE;1424 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9431;/orgs/1/sec_policy/draft/rule_sets/9431/sec_rules/86833;;KEEP
BOUQUETS_EUR.INFRA.VITAL-IN-RS;"Global Rules for INBOUND flows coming from VITAL Core Infra Services in destination of MANAGED elements.
Scope = ALL
Consumer = CS, CSM, CSD, APA
Provider = APPGROUP_EUR.INFRA.VITAL-LGA";;TRUE;"CAT=System
Service=AD

AppName: IPLIST AD/DNS

OS: WINDOWS";TRUE;FALSE;FALSE;;;CS_EUS_DNS_RCR-ALL-IPL;;;;FALSE;FALSE;OS:WINDOWS;"APPGROUP_VITAL-LGA;REGION.EUR-LGL";;;;;FALSE;445 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9336;/orgs/1/sec_policy/draft/rule_sets/9336/sec_rules/89443;;KEEP
BOUQUETS_EUR.INFRA.VITAL-IN-RS;"Global Rules for INBOUND flows coming from VITAL Core Infra Services in destination of MANAGED elements.
Scope = ALL
Consumer = CS, CSM, CSD, APA
Provider = APPGROUP_EUR.INFRA.VITAL-LGA";;TRUE;"AppName: IPLIST AD

OS: WINDOWS";FALSE;FALSE;FALSE;;;CS_AUTH_AD.FR_GCR-PROD-IPL;;;;FALSE;FALSE;OS:WINDOWS;"APPGROUP_VITAL-LGA;REGION.EUR-LGL";;;;;FALSE;"123 UDP;445 TCP";workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9336;/orgs/1/sec_policy/draft/rule_sets/9336/sec_rules/89441;;KEEP
BOUQUETS_EUR.INFRA.VITAL-IN-RS;"Global Rules for INBOUND flows coming from VITAL Core Infra Services in destination of MANAGED elements.
Scope = ALL
Consumer = CS, CSM, CSD, APA
Provider = APPGROUP_EUR.INFRA.VITAL-LGA";;TRUE;"CAT=Authentication
Service=AD

AppName: Ecosystem AD
OS: WINDOWS";TRUE;TRUE;FALSE;"app:CSU_AUT_ADS.ECOSYSTEM_ASIA_PRD;env:PRD";;;;;;FALSE;FALSE;OS:WINDOWS;"APPGROUP_VITAL-LGA;REGION.EUR-LGL";Any (0.0.0.0/0 and ::/0);;;;FALSE;445 TCP;workloads;workloads;FALSE;FALSE;FALSE;brn;/orgs/1/sec_policy/draft/rule_sets/9336;/orgs/1/sec_policy/draft/rule_sets/9336/sec_rules/89437;;KEEP
