name,key,description,member_labels,member_label_groups,fully_expanded_members,href
KPI_SUB_ENTITY_GBIS-GBSU.REG-LGA,app,For KPI calculation purpose. Label group that contain Application Labels part of GBSU.REG Sub-entity,APM_L1.GBTO_REPLAY; APM_L3.GBTO.EUR_CG.REPLAY; APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.CBR.IAAS,,APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.CBR.IAAS; APM_L1.GBTO_REPLAY; APM_L3.GBTO.EUR_CG.REPLAY,/orgs/1/sec_policy/draft/label_groups/438ba839-f99c-401b-a193-3e8bc567c12f
L3.SWIFT.EUR-LGA,app,,APM_L3.SWIFT.EUR_CG.SWIFT.SAG; APM_L3.SWIFT.EUR_CG.SWIFT.SWING; APM_L3.SWIFT.EUR_CG.SWIFT.STARS; APM_L3.SWIFT.EUR_CG.SWIFT.SFAP,,APM_L3.SWIFT.EUR_CG.SWIFT.SAG; APM_L3.SWIFT.EUR_CG.SWIFT.SWING; APM_L3.SWIFT.EUR_CG.SWIFT.STARS; APM_L3.SWIFT.EUR_CG.SWIFT.SFAP,/orgs/1/sec_policy/draft/label_groups/80731dd4-3e6a-42ee-bc0f-b83a284bd8ee
KPI_SUB_ENTITY_GBIS-GBSU.MAR-LGA,app,,APM_L1.GBTO_MONTRAN; APM_L3.GBTO.AMER_CG.MONTRAN; APM_L3.SABA.GBTO_CG.SABA.GL.APF,,APM_L1.GBTO_MONTRAN; APM_L3.GBTO.AMER_CG.MONTRAN; APM_L3.SABA.GBTO_CG.SABA.GL.APF,/orgs/1/sec_policy/draft/label_groups/65937d05-8f04-499d-a2eb-664af0bcc29f
KPI_STRATEGY_CARTO-LGA,app,Applications onboarded in illumio only for having flow observation (no enforcement will be applied),APM_L1.GBTO_BACARDI; APM_L1.GBTO_ELIOT.L1; AP_RCR_GED.GCG; APM_L1.SGRF_GED.GBQ; APM_L3.GBTO_CASH.EUROPE; APM_L1.GBTO_LOAN.IQ; APM_L1.GBTO_HIGHWAY; APM_L1.SGRF_SGTALK.VOX.L1; APM_L1.SGRF_SGTALK.SGT.L1; APM_L1.SGRF_SGTALK.MNR.L1; APM_L1.SGRF_SGTALK.DIG.L1; CSM_RBD_OPM.MOS_ALL; APM_L1.GBTO_GL.APF.L1; APM_L1.SGRF_GED.ACA.L1; APM_L1.SGRF_GED.ACV.L1; APM_L1.SGRF_GED.GBX; APM_L1.SGRF_GED.IGB; APM_L1.SGRF_GED.GBA; CSM_RBD_SEC.SCS_ALL; APM_L1.SGRF_VIREMENTS.UNIFIES; APM_L1.GBTO_MONTRAN; APM_L1.GBTO_BDR; APM_L1.SGRF_CDM.DFIN; APM_L1.SGRF_ETECE; APM_L3.SGRF_SAFIR.CREDIT.RISK; CSM_SYS-UNX_396246_PRD-UNIX.CORE.INFRA; APM_L1.SGRF_GRC.L1; APM_L1.SWIFT_SWIFT.STARS.L1; APM_L1.SWIFT_SWIFT.SWING.L1; APM_L1.SWIFT_SFAP; APM_L1.SWIFT_SAG; APM_L1.SGRF_SAFIR.CREDIT.RISK.L1,,APM_L1.SGRF_SAFIR.CREDIT.RISK.L1; AP_RCR_GED.GCG; CSM_RBD_OPM.MOS_ALL; APM_L1.SGRF_GED.IGB; APM_L1.GBTO_MONTRAN; APM_L1.SGRF_ETECE; CSM_SYS-UNX_396246_PRD-UNIX.CORE.INFRA; APM_L1.SGRF_GED.GBQ; APM_L1.GBTO_GL.APF.L1; APM_L1.SGRF_GED.ACA.L1; APM_L1.SGRF_GED.GBA; APM_L1.SGRF_SGTALK.MNR.L1; CSM_RBD_SEC.SCS_ALL; APM_L1.SGRF_VIREMENTS.UNIFIES; APM_L1.SGRF_GRC.L1; APM_L1.SWIFT_SWIFT.STARS.L1; APM_L1.SWIFT_SFAP; APM_L1.GBTO_BACARDI; APM_L3.GBTO_CASH.EUROPE; APM_L1.GBTO_HIGHWAY; APM_L1.SGRF_SGTALK.SGT.L1; APM_L1.GBTO_BDR; APM_L1.SWIFT_SWIFT.SWING.L1; APM_L1.SGRF_SGTALK.DIG.L1; APM_L1.SGRF_GED.ACV.L1; APM_L1.SGRF_CDM.DFIN; APM_L1.GBTO_ELIOT.L1; APM_L1.SGRF_SGTALK.VOX.L1; APM_L1.SGRF_GED.GBX; APM_L1.SWIFT_SAG; APM_L1.GBTO_LOAN.IQ; APM_L3.SGRF_SAFIR.CREDIT.RISK,/orgs/1/sec_policy/draft/label_groups/55be238a-3b86-4645-b3b9-b75d818b9acd
DB.ORACLE_LGR,role,,DB.OCP; DB.MANAGED.OCP; DB.ORACLE.RAC; DB.ORA.EXADATA.CC; DB.ORA.GEN1,,DB.OCP; DB.MANAGED.OCP; DB.ORACLE.RAC; DB.ORA.EXADATA.CC; DB.ORA.GEN1,/orgs/1/sec_policy/draft/label_groups/925ef4d6-3b94-42a5-9d26-71994eb934bc
WORKLOADS_MC-LGA,app,Label group for all application in Monaco perimeter + Core services + shared services.,,SS_MC-LGA;CS_MC-LGA;AP_MC-LGA,,/orgs/1/sec_policy/draft/label_groups/062718d8-626a-46df-a168-1ba2075ea0af
KPI_ALL_UNMANAGED.APP-LGA,app,Label Group for all unmanaged Applications (Application having only unmanaged workloads),AP_GCR_PRS; AP_GCR_SLA; AP_GCR_GNU; CTX_GCR_BCA; AP_GCR_CPL; AP_GCR_ENT; AP_GCR_KYC; AP_GCR_INF; AP_GCR_MTX; AP_GCR_IDT; SS_BASTION_PAACTWIN_GCR; CSM_SYS_SSHKIT.SSK; AP_GCR_GP3; CST_PPAAS_AME_ALL; CST_STO_ENG.UNIX_ALL-ALL; CST_MONITOR_NAGIOS_ALL-ALL; CSU_GTS_PPAAS_ALL; AP_GCR_TTG-OLD; CTX_GCR_BIR; AP_RCR_JDM; AP_GTS_TIB; AP_GCR_TPR; SS_LB_CLOUD_SGSS_GCR; AP_GCR_NGC; AP_GCR_DFP; AP_GCR_GP3_OLD; AP_GCR_BCTA_OLD; SS_ITECARC_XLDEPLOY_GCR; APM_L1.GBTO_ELIOT.L1; AP_GCR_APD; CTX_GCR_ONE; CTX_GCR_NGC; APT_SDS_NONPRD; AP_GCR_DRW; AP_GCR_PEA; AP_GCR_GDT; AP_GCR_CTG; CTX_GCR_SITI-AG; AP_GCR_RNE; Decom_SS_SEC_CYBERARK_GCR; AP_GTS_NTS; CSU_STO_NFS.SYS.USER_ALL; MUT_GCR_TIBBW; AP_GCR_NXS; AP_GCR_B2CH_OLD; AP_GCR_GCA; AP_GTS_A2S; CSU_MON_ZABBIX_ALL; CSU_MON_NASTEL.MKT_ALL,,SS_BASTION_PAACTWIN_GCR; AP_GCR_GP3; CST_PPAAS_AME_ALL; CTX_GCR_BIR; AP_GCR_BCTA_OLD; CTX_GCR_ONE; CTX_GCR_BCA; AP_GCR_INF; AP_GCR_GDT; SS_ITECARC_XLDEPLOY_GCR; APM_L1.GBTO_ELIOT.L1; AP_GCR_PEA; MUT_GCR_TIBBW; CSU_GTS_PPAAS_ALL; AP_RCR_JDM; AP_GCR_TTG-OLD; AP_GCR_APD; AP_GCR_B2CH_OLD; AP_GTS_A2S; AP_GCR_MTX; CST_STO_ENG.UNIX_ALL-ALL; AP_GCR_ENT; CSM_SYS_SSHKIT.SSK; AP_GCR_NGC; AP_GCR_DFP; AP_GCR_GCA; CSU_MON_NASTEL.MKT_ALL; AP_GCR_PRS; AP_GCR_GNU; Decom_SS_SEC_CYBERARK_GCR; AP_GCR_SLA; SS_LB_CLOUD_SGSS_GCR; AP_GTS_NTS; AP_GCR_NXS; CSU_MON_ZABBIX_ALL; AP_GCR_GP3_OLD; CTX_GCR_SITI-AG; AP_GCR_TPR; APT_SDS_NONPRD; AP_GCR_DRW; AP_GCR_RNE; CSU_STO_NFS.SYS.USER_ALL; AP_GCR_CPL; AP_GTS_TIB; CST_MONITOR_NAGIOS_ALL-ALL; CTX_GCR_NGC; AP_GCR_CTG; AP_GCR_KYC; AP_GCR_IDT,/orgs/1/sec_policy/draft/label_groups/5e4d04b6-1eff-4f4a-b697-ab7cf84f3e18
KPI_PROGRAM_BCE.RECO.8.CHR-LGA,app,LG including Critical Highly Regulated Applications part of ECB Reco 8 Program,APM_GBTO_CHR.RFI; APM_GBTO_CHR.N-TIER; APM_GBTO_CHR.JEDEAI; APM_GBTO_CHR.ROOM; APM_GBTO_CHR.STAFF.REGISTRATION.TOOL; APM_GBTO_CHR.N-TIER.IAAS; APM_GBTO_CHR.ROOM.IAAS; APM_GBTO_CHR.STAFF.REGISTRATION.TOOL.IAAS; APM_CFT_CHR.EXP,,APM_GBTO_CHR.STAFF.REGISTRATION.TOOL.IAAS; APM_CFT_CHR.EXP; APM_GBTO_CHR.JEDEAI; APM_GBTO_CHR.ROOM; APM_GBTO_CHR.STAFF.REGISTRATION.TOOL; APM_GBTO_CHR.N-TIER.IAAS; APM_GBTO_CHR.RFI; APM_GBTO_CHR.N-TIER; APM_GBTO_CHR.ROOM.IAAS,/orgs/1/sec_policy/draft/label_groups/986afd43-f447-49dc-a595-8818b7fac082
L3.NSAL3P.GTS.HSM.DATA.INTERNAL-LGA,app,,APM_L3.NSAL3P.GTS.DATA_KEY; APU_L3.NSAL3P.GTS.DATA_KEY.AGENTLESS; APM_L3.NSAL3P.GTS.DATA.INTERNAL_KMP; APU_L3.NSAL3P.GTS.DATA.INTERNAL_KMP.AGENTLESS,,APM_L3.NSAL3P.GTS.DATA_KEY; APU_L3.NSAL3P.GTS.DATA_KEY.AGENTLESS; APM_L3.NSAL3P.GTS.DATA.INTERNAL_KMP; APU_L3.NSAL3P.GTS.DATA.INTERNAL_KMP.AGENTLESS,/orgs/1/sec_policy/draft/label_groups/c413c980-969e-489d-a685-ea8d7d208fcb
KPI_PROGRAM_HARIBO-LGA,app,Import Label group through workloader,APM_GCR_BCA; APM_GBTO_BANCS.CASH.BCH; APM_GCR_SRG.BIR; APM_GCR_CLS.CONTROL.BRANCH; APM_GBTO_CHR.IDL.COCKPIT; APM_GBTO_CHR.NCI; APM_GCR_SIB; MUT_GCR_MQ; MUT_GCR_ORACLE; MUT_SGSS_DLFR; APM_GCR_E.CASH; APM_GBTO_ISI; APM_GBTO_CHR.NCI.IAAS; APM_GCR_E.CASH.IAAS; APM_GBTO_CHR.IDL.COCKPIT.IAAS; APM_GBTO_BANCS.CASH.BCH.IAAS,,APM_GCR_CLS.CONTROL.BRANCH; APM_GCR_SIB; MUT_SGSS_DLFR; APM_GBTO_CHR.NCI.IAAS; APM_GBTO_CHR.IDL.COCKPIT; APM_GBTO_ISI; APM_GCR_BCA; APM_GBTO_BANCS.CASH.BCH; APM_GBTO_CHR.NCI; MUT_GCR_MQ; APM_GBTO_CHR.IDL.COCKPIT.IAAS; APM_GBTO_BANCS.CASH.BCH.IAAS; APM_GCR_SRG.BIR; MUT_GCR_ORACLE; APM_GCR_E.CASH; APM_GCR_E.CASH.IAAS,/orgs/1/sec_policy/draft/label_groups/ca36cc94-a43a-4438-af1d-7c54d6531830
L3.GBTO.EUR-LGA,app,,APM_L3.GBTO.EUR_CG.BDR; APM_L3.GBTO.EUR_CG.HIGHWAY.L3.GBTO.EUR; APM_L3.GBTO.EUR_CG.MAESTRO; APM_L3.GBTO.EUR_CG.REPLAY; APM_L3.GBTO.EUR_CG.BACARDI; APM_L3.GBTO.EUR_CG.ELIOT.EUR; APM_L3.GBTO.EUR_CG.EOLE.ALISE.GATE; APM_L3.GBTO.EUR_CG.GL.APF; APM_L3.GBTO.EUR_CG.LOAN.IQ; APM_L3.GBTO.EUR_CG.MUREX; APM_L3.GBTO.EUR_CG.SATIS.L3.GBTO; APM_L3.GBTO.EUR_CG.X.ONE.EUR; APM_L3.GBTO.EUR_CASH.EUROPE; APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.E.FUND.ORDER; APM_L3.GBTO.EUR_CG.E.SETTLEMENT; APM_L3.GBTO.EUR_FTAAS.L3.GBTO; APM_L3.GBTO.EUR_CG.GSP.T2S; APM_L3.GBTO.EUR_CG.SGCONNECT.L3; APM_L3.GBTO.EUR_CG.SORA; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR; APM_L3.GBTO.EUR_CG.CBR.IAAS; APM_L3.GBTO.EUR_CG.LOAN.IQ.IAAS; APM_L3.GBTO.EUR_CG.MUREX.IAAS; APM_L3.GBTO.EUR_CG.GSP.T2S.IAAS; APM_L3.GBTO.EUR_CG.MAESTRO.IAAS; APM_L3.GBTO.EUR_CG.GL.APF.IAAS; APM_L3.GBTO.EUR_CG.SORA.IAAS; APM_L3.GBTO.EUR_CG.EOLE.ALISE.GATE.IAAS; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR.IAAS; APM_L3.GBTO.EUR_CG.BACARDI.IAAS; APM_L3.GBTO.EUR_CG.E.FUND.ORDER.IAAS; APM_L3.GBTO.EUR_CG.E.SETTLEMENT.IAAS; APM_L3.GBTO.EUR_CG.X.ONE.EUR.IAAS; APM_L3.GBTO.EUR_CG.ELIOT.EUR.IAAS,,APM_L3.GBTO.EUR_CG.LOAN.IQ; APM_L3.GBTO.EUR_CG.X.ONE.EUR; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR; APM_L3.GBTO.EUR_CG.BACARDI; APM_L3.GBTO.EUR_CG.CBR; APM_L3.GBTO.EUR_CG.E.FUND.ORDER.IAAS; APM_L3.GBTO.EUR_CG.HIGHWAY.L3.GBTO.EUR; APM_L3.GBTO.EUR_CG.ELIOT.EUR; APM_L3.GBTO.EUR_CG.EOLE.ALISE.GATE; APM_L3.GBTO.EUR_CASH.EUROPE; APM_L3.GBTO.EUR_FTAAS.L3.GBTO; APM_L3.GBTO.EUR_CG.EOLE.ALISE.GATE.IAAS; APM_L3.GBTO.EUR_CG.MAESTRO; APM_L3.GBTO.EUR_CG.E.SETTLEMENT; APM_L3.GBTO.EUR_CG.GSP.T2S; APM_L3.GBTO.EUR_CG.MUREX.IAAS; APM_L3.GBTO.EUR_CG.SATIS.L3.GBTO; APM_L3.GBTO.EUR_CG.E.SETTLEMENT.IAAS; APM_L3.GBTO.EUR_CG.X.ONE.EUR.IAAS; APM_L3.GBTO.EUR_CG.GSP.T2S.IAAS; APM_L3.GBTO.EUR_CG.SORA.IAAS; APM_L3.GBTO.EUR_CG.SORA; APM_L3.GBTO.EUR_CG.GL.APF; APM_L3.GBTO.EUR_CG.MUREX; APM_L3.GBTO.EUR_CG.BACARDI.IAAS; APM_L3.GBTO.EUR_CG.ELIOT.EUR.IAAS; APM_L3.GBTO.EUR_CG.REPLAY; APM_L3.GBTO.EUR_CG.E.FUND.ORDER; APM_L3.GBTO.EUR_CG.SGCONNECT.L3; APM_L3.GBTO.EUR_CG.CBR.IAAS; APM_L3.GBTO.EUR_CG.LOAN.IQ.IAAS; APM_L3.GBTO.EUR_CG.MAESTRO.IAAS; APM_L3.GBTO.EUR_CG.GL.APF.IAAS; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR.IAAS; APM_L3.GBTO.EUR_CG.BDR,/orgs/1/sec_policy/draft/label_groups/0d8040ce-4e51-4d73-bc69-3e057b41816a
AP_AMER.USA-LGA,app,This label group only for AMER applicatoin,SSM_RBD_CYBERARK.AMER; CSM_RBD_IAS.WINDOWS_ALL,,SSM_RBD_CYBERARK.AMER; CSM_RBD_IAS.WINDOWS_ALL,/orgs/1/sec_policy/draft/label_groups/0779def1-0a5f-428f-a27e-60571d05b62a
WORKLOADS_IAS.LINUX-LGA,app,"Label Group containing all IAS Linux infra servers (Rebound, Admin, SSHKit)",CSM_RBD_IAS.LINUX_ALL; CSM_SYS_SSHKIT.SSK; CSM_GTS_IAS.SBS.LINUX,,CSM_GTS_IAS.SBS.LINUX; CSM_RBD_IAS.LINUX_ALL; CSM_SYS_SSHKIT.SSK,/orgs/1/sec_policy/draft/label_groups/99c67bd1-0000-4787-b027-fd1a1aa0f206
KPI_PROGRAM_SNOW4REGION-LGA,app,Import Label group through workloader,CSM_NET_DHCP.NDQ.GSC; CSM_SEC_SEPM.GSC,,CSM_NET_DHCP.NDQ.GSC; CSM_SEC_SEPM.GSC,/orgs/1/sec_policy/draft/label_groups/4ecf8662-ac7a-4e02-8bfa-c21a95fd502d
KPI_RUN.LEVEL_MEDIUM-LGA,app,,APM_AFMO_SGSN.BANQUEPRIVEE.N86; CSM_MON_MS.WIN.CORE.INFRA.MARACIAAS; CSM_RBD_PAS.MDW.MTS.MOM_ALL; CSM_RBD_SEC.ACS.LDO_ALL; CSM_SEC_SEPM.GSC; APM_GTS_NAS.SERVERS; CSU_GTS_PPAAS_ALL; CSM_ADMIN_IAS.WINDOWS_ALL; CSM_RBD_CYBERARK.MVS.BUSU; CSM_RBD_CYBERARK.STANDARD.UK.GTS; APM_L3.SGRF.EUR_CG.SGTALK.DIG; APM_RCR_APM.MUT; CSM_BATCH_FRA.CONTROLM.BDDF; CSM_BCK_FRA.NETWORKER.2; CSM_RBD_CYBERARK.MVS.ADMIN; APM_GTS.SEC.DSS_VARONIS.ITIM; APM_GTS_DWS.WKS.FR; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR; CSM_RBD_CYBERARK.STANDARD.UK.BUSU; APM_GTS.SEC.DVF_AMER.LDO; CSM_RBD_SEC.SCS_ALL; APM_L3.SGRF.EUR_CG.SGTALK.SGT; CSM_DEP_FRA.SCCM.CORP; APM_GCR_OIB; APM_GTS.SEC.SCS_HASHICORP.CP.MYVAULT; APM_L3.GTS.EUR_ILLUMIO.SM.L3; CSM_RBD_PAS.MDW.CACHE_ALL; APM_GBTO_CHR.IDL.COCKPIT; APM_GTS_CYBERARK.YOGA.MAINFRAME; APM_L3.SWIFT.EUR_CG.SWIFT.INTIX; APM_GTS_FRA.GWIM.GLOBAL.WINDOWS.MASTER; APM_IBFS_SGEF.PL.EGERIA.EGI; CSM_BCK_FRA.TSM.RBDF; CSM_RBD_PAS.ADB_ALL; CSM_RBD_SEC.ACS.OUD_ALL; APM_GCR_PTF; APM_GTS.SEC.SCS_PKC; APM_GTS_FRA.ADMIN.TERADATA; APM_IBFS_SGEF.PL.WEBCON.EGH; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK; APM_L3.SGRF.EUR_FTAAS.L3.SGRF; CSM_SYS_VIRTUAL.MACHINE.SERVER.MEDIUM; CSM_SYS_WW.PUPPET.AAS; APM_GBTO_BANCS.CASH.BCH; APM_GTS_MS.WINDOWS.INFRASTRUCTURE; CSM_SYS-NTS_1326_DEV-WINDOWS.CORE.INFRA; APM_GTS_CG.FRA.AUTOSYS; CSM_BCK_VERITAS.NETBACKUP; CSM_RBD_PAS.MDW.CTN_ALL; MUT_GCR_MQ; APM_L3.NSAL3P.BSC.DMZ.SC2.RTFE_CG.RTFE.SC2; APM_L3.SGRF.EUR_CG.SGTALK.MNR; APM_GTS.SEC.SCS.EUR_KMP; APM_GTS_DWS.FR; APM_L3.GBTO.EUR_FTAAS.L3.GBTO; APM_L3.SGRF.EUR_CG.SGTALK.VOX; CSM_RBD_PAS.DRE_ALL; APM_GTS.SEC.DSS_VARONIS.CORP; MUT_SGSS_DLFR; APM_AFMO_SGSN.IMAGES.CHEQUES.N92; APM_L3.NSAL3P.BSC.DMZ.DC2.RTFE_CG.RTFE.DC2; CSM_AUTH_AMER.IDM.PLT; CSM_RBD_PAS.MDW.BO_ALL; CSM_RBD_PAS.MDW.MTS.MOM.MFT_ALL; CSM_RBD_SEC.ACS.DSI.DMZ; CSM_RBD_SEC.ACS.OFP_ALL; MUT_GCR_ORACLE; APM_AFMO_SGSN.KCP.N91; CSM_DEP_MASTER.UNIX.SATELLITE.CAPSULES; CSM_RBD_PAS.BDT_ALL; CSM_RBD_CYBERARK.ALERO.GTS; CSM_RBD_SEC.ACS.IRU_ALL; CSM_RBD_SEC.ACS.LDD_ALL; CSM_SEC_SEPM.WW; CSM_SYS-WUM-WW.UNIX.MASTER; APM_GCR_PFI; APM_GTS_AIX.INFRA.SERVER.IAS.SYS; CSM_MGT_FRA.ADMIN.INFRA.MAINFRAME.SAIZ; APM_GTS_SNORF; CSM_NET_DNS.INFRASTRUCTUR; APM_AFMO_SGSN.DOCUBASE.N90; APM_GTS.SEC.DSS_VARONIS.EMEA; APM_GTS_LUIGI.DWF.MIGRATION.FACTORY; CSM_ADMIN_IAS.LINUX_ALL; CSM_RBD_SEC.ACS.ID1_ALL; CSM_SYS_UNIX.SERVER; APM_GTS.SEC.STS_DATA4SEC; CSM_RBD_PAS.MDW.WAS_ALL; APM_IBFS_SGEF.PL.CD3.EGJ; APM_GCR_M1F; APM_GCR_SIB; APM_GTS.SEC.STS_MYFLOWS; APM_GTS.SEC.SCS_PKC.IAAS; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR.IAAS; APM_GBTO_BANCS.CASH.BCH.IAAS; APM_GTS.SEC.STS_DATA4SEC.MONITORING.IAAS; APM_GTS_CG.FRA.AUTOSYS.IAAS; CSM_BATCH_FRA.CONTROLM.BDDF.IAAS; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK.IAAS; APM_GBTO_CHR.IDL.COCKPIT.IAAS; APM_L3.SGRF.EUR_CG.SGTALK.VOX.TEST,,APM_IBFS_SGEF.PL.WEBCON.EGH; CSM_DEP_MASTER.UNIX.SATELLITE.CAPSULES; APM_GCR_SIB; APM_GTS.SEC.DVF_AMER.LDO; CSM_SYS_VIRTUAL.MACHINE.SERVER.MEDIUM; CSM_BCK_VERITAS.NETBACKUP; MUT_GCR_MQ; APM_L3.NSAL3P.BSC.DMZ.DC2.RTFE_CG.RTFE.DC2; CSM_RBD_CYBERARK.ALERO.GTS; APM_GTS_LUIGI.DWF.MIGRATION.FACTORY; CSM_SYS_UNIX.SERVER; APM_GTS.SEC.STS_MYFLOWS; CSM_RBD_SEC.ACS.LDO_ALL; APM_GTS.SEC.DSS_VARONIS.ITIM; CSM_RBD_CYBERARK.STANDARD.UK.BUSU; CSM_RBD_PAS.MDW.CACHE_ALL; APM_GBTO_CHR.IDL.COCKPIT; APM_GTS_FRA.ADMIN.TERADATA; APM_GTS_MS.WINDOWS.INFRASTRUCTURE; CSM_RBD_PAS.BDT_ALL; APM_IBFS_SGEF.PL.CD3.EGJ; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR.IAAS; APM_L3.SGRF.EUR_CG.SGTALK.DIG; APM_GTS_DWS.WKS.FR; APM_GTS_CG.FRA.AUTOSYS; APM_GTS_DWS.FR; APM_AFMO_SGSN.KCP.N91; APM_GTS.SEC.SCS_PKC.IAAS; APM_RCR_APM.MUT; APM_GCR_OIB; APM_GBTO_BANCS.CASH.BCH; CSM_RBD_SEC.ACS.DSI.DMZ; APM_AFMO_SGSN.DOCUBASE.N90; APM_GTS.SEC.DSS_VARONIS.EMEA; CSM_RBD_SEC.ACS.IRU_ALL; CSM_SYS-WUM-WW.UNIX.MASTER; CSM_NET_DNS.INFRASTRUCTUR; APM_GTS.SEC.STS_DATA4SEC; CSM_BCK_FRA.NETWORKER.2; APM_GCR_PTF; CSM_SYS-NTS_1326_DEV-WINDOWS.CORE.INFRA; APM_L3.SGRF.EUR_CG.SGTALK.VOX; APM_GCR_M1F; CSM_ADMIN_IAS.WINDOWS_ALL; APM_GTS.SEC.SCS_HASHICORP.CP.MYVAULT; CSM_BCK_FRA.TSM.RBDF; APM_GTS.SEC.SCS.EUR_KMP; CSM_RBD_SEC.ACS.OFP_ALL; CSM_RBD_SEC.SCS_ALL; APM_L3.GTS.EUR_ILLUMIO.SM.L3; CSM_RBD_PAS.DRE_ALL; CSM_RBD_SEC.ACS.LDD_ALL; APM_GTS_AIX.INFRA.SERVER.IAS.SYS; APM_GBTO_BANCS.CASH.BCH.IAAS; CSM_BATCH_FRA.CONTROLM.BDDF.IAAS; APM_AFMO_SGSN.BANQUEPRIVEE.N86; CSM_SEC_SEPM.GSC; APM_L3.GBTO.EUR_CG.X.ONE.CL.EUR; APM_GTS_CYBERARK.YOGA.MAINFRAME; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK; MUT_GCR_ORACLE; APM_GTS.SEC.STS_DATA4SEC.MONITORING.IAAS; APM_GTS_CG.FRA.AUTOSYS.IAAS; APM_L3.SGRF.EUR_CG.SAFIR.CREDIT.RISK.IAAS; CSM_RBD_PAS.ADB_ALL; APM_AFMO_SGSN.IMAGES.CHEQUES.N92; CSM_AUTH_AMER.IDM.PLT; CSM_BATCH_FRA.CONTROLM.BDDF; CSM_DEP_FRA.SCCM.CORP; APM_IBFS_SGEF.PL.EGERIA.EGI; CSM_RBD_SEC.ACS.OUD_ALL; APM_GTS_SNORF; CSM_RBD_SEC.ACS.ID1_ALL; CSM_MON_MS.WIN.CORE.INFRA.MARACIAAS; CSM_RBD_CYBERARK.MVS.ADMIN; APM_L3.SGRF.EUR_CG.SGTALK.SGT; APM_GTS_FRA.GWIM.GLOBAL.WINDOWS.MASTER; APM_L3.SGRF.EUR_CG.SGTALK.MNR; APM_GCR_PFI; CSM_ADMIN_IAS.LINUX_ALL; APM_L3.SGRF.EUR_CG.SGTALK.VOX.TEST; APM_GTS_NAS.SERVERS; CSM_RBD_CYBERARK.MVS.BUSU; APM_L3.SWIFT.EUR_CG.SWIFT.INTIX; APM_L3.SGRF.EUR_FTAAS.L3.SGRF; CSM_RBD_PAS.MDW.CTN_ALL; APM_L3.NSAL3P.BSC.DMZ.SC2.RTFE_CG.RTFE.SC2; CSM_RBD_PAS.MDW.BO_ALL; CSM_RBD_PAS.MDW.MTS.MOM_ALL; CSM_RBD_CYBERARK.STANDARD.UK.GTS; CSM_RBD_PAS.MDW.WAS_ALL; APM_GBTO_CHR.IDL.COCKPIT.IAAS; CSU_GTS_PPAAS_ALL; APM_GTS.SEC.SCS_PKC; CSM_SYS_WW.PUPPET.AAS; APM_L3.GBTO.EUR_FTAAS.L3.GBTO; APM_GTS.SEC.DSS_VARONIS.CORP; MUT_SGSS_DLFR; CSM_RBD_PAS.MDW.MTS.MOM.MFT_ALL; CSM_SEC_SEPM.WW; CSM_MGT_FRA.ADMIN.INFRA.MAINFRAME.SAIZ,/orgs/1/sec_policy/draft/label_groups/5b2a33a4-708b-4e6d-82fc-89c33cfe79cf
KPI_SUB_ENTITY_RESG-TIS-LGA,app,Label group for GCOO/TIS entity,APM_GCR_M1F,,APM_GCR_M1F,/orgs/1/sec_policy/draft/label_groups/7e908881-1d21-46b0-9c54-8f729130d94b
